PRD_EAN13;PRD_NOM;CHRONICITY_SCORE
3282770204667.0;CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE CREM REPA 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR REPAR T40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE + CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE CR REPAR T40ML;2.0
3282770204667.0;AVENE CICALFATE + CR 40 ML TUBE;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AV CICALFATE + CREME 40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR REPARATRICE T/40ML;2.0
3282770204667.0;AVENE CICALFATE CR TB40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;CICALFATE+ CR 40ML AVENE;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE + CREME T 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;CICALFATE+ CR REPAR T/40ML REF;2.0
3282770204667.0;AVENE CICALFATE CREME PM 40 ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE CR REPAR T40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CREME 40ML;2.0
3282770204667.0;AVENE CICALFATE CR 40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR PROTECT 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR REPAR T/40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR 40ML;2.0
3282770204667.0;CICALFATE+ AVENE CR 40ML;2.0
3282770204667.0;AVENE CICALFATE+ CR TB40ML1;2.0
3282770204667.0;AVENE CICALFATE+ CR 40ML;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL 15MG CPR PESE T/10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL SEC;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SEC B10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL CPR TB10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;DONORMYL CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG 10CP;2.0
3400936751934.0;DONORMYL 15MG CPR SECABLE 10;2.0
3400936751934.0;DONORMYL 15MG CPR TB10;2.0
3400936751934.0;DONORMYL CPR SECAB 10;2.0
3400936751934.0;UPSA DONORMYL COMPRIMES BT10;2.0
3400936751934.0;DONORMYL CPR SECABLE;2.0
